datetime,inlet,outlet,outfall
2026-03-01 00:00,30.7594,37.0701,37.962
2026-03-01 01:00,30.645,36.9441,37.8636
2026-03-01 02:00,30.5944,36.8325,37.7434
2026-03-01 03:00,30.5688,36.7653,37.69
2026-03-01 04:00,30.5432,36.7313,37.626
2026-03-01 05:00,30.5036,36.7069,37.585
2026-03-01 06:00,30.4696,36.683,37.6056
2026-03-01 07:00,30.4978,36.5563,37.556
2026-03-01 08:00,30.5313,35.1227,36.1116
2026-03-01 09:00,30.5357,36.4308,36.987
2026-03-01 10:00,30.5889,36.762,37.668
2026-03-01 11:00,30.6846,36.887,37.788
2026-03-01 12:00,30.7817,36.9806,37.9089
2026-03-01 13:00,30.85,37.0723,37.99
2026-03-01 14:00,30.9875,37.2529,38.1084
2026-03-01 15:00,31.05,37.3804,38.2218
2026-03-01 16:00,31.1429,37.4705,38.3243
2026-03-01 17:00,31.13,37.5038,38.39
2026-03-01 18:00,31.0471,37.4391,38.3443
2026-03-01 19:00,30.9977,37.4142,38.278
2026-03-01 20:00,30.9632,37.3667,38.2277
2026-03-01 21:00,30.9234,37.3422,38.22
2026-03-01 22:00,30.9058,37.2819,38.154
2026-03-01 23:00,30.8385,37.1859,38.0751
2026-03-02 00:00,30.7656,37.0695,37.9843
2026-03-02 01:00,30.7167,36.9858,37.883
2026-03-02 02:00,30.6812,36.93,37.8187
2026-03-02 03:00,30.6467,36.8617,37.7784
2026-03-02 04:00,30.61,36.7951,37.698
2026-03-02 05:00,30.5607,36.7183,37.6344
2026-03-02 06:00,30.5318,36.6989,37.6191
2026-03-02 07:00,30.5211,36.6993,37.632
2026-03-02 08:00,30.5288,36.7211,37.653
2026-03-02 09:00,30.5821,36.7575,37.6697
2026-03-02 10:00,30.6298,36.8281,37.764
2026-03-02 11:00,30.6887,36.8842,37.8255
2026-03-02 12:00,30.7357,36.9319,37.88
2026-03-02 13:00,30.8125,37.0389,37.981
2026-03-02 14:00,30.8762,37.135,38.033
2026-03-02 15:00,31.0188,37.2951,38.202
2026-03-02 16:00,31.1947,37.4803,38.358
2026-03-02 17:00,31.25,37.5826,38.4915
2026-03-02 18:00,31.2464,37.6051,38.4926
2026-03-02 19:00,31.1795,37.5625,38.464
2026-03-02 20:00,31.0065,37.4289,38.3507
2026-03-02 21:00,31.0025,37.3986,38.2963
2026-03-02 22:00,30.9839,37.3779,38.308
2026-03-02 23:00,30.9662,37.3466,38.2704
2026-03-03 00:00,30.9062,37.2528,38.191
2026-03-03 01:00,30.8775,37.1693,38.068
2026-03-03 02:00,30.8312,37.1017,38.019
2026-03-03 03:00,30.7962,37.033,37.9524
2026-03-03 04:00,30.7556,36.9869,37.904
2026-03-03 05:00,30.715,36.9344,37.834
2026-03-03 06:00,30.72,36.9396,37.842
2026-03-03 07:00,30.7273,36.9062,37.828
2026-03-03 08:00,30.725,36.9308,37.8195
2026-03-03 09:00,30.735,36.9424,37.8607
2026-03-03 10:00,30.8,36.9854,37.887
2026-03-03 11:00,30.8268,37.0479,37.9971
2026-03-03 12:00,30.875,37.0781,38.0415
2026-03-03 13:00,30.8953,37.1006,38.0486
2026-03-03 14:00,30.9692,37.1881,38.108
2026-03-03 15:00,31.0452,37.3,38.211
2026-03-03 16:00,31.1859,37.4192,38.316
2026-03-03 17:00,31.2875,37.5863,38.429
2026-03-03 18:00,31.2808,37.5813,38.4828
2026-03-03 19:00,31.2147,37.56,38.4225
